capacity_regime,geometry,budget,metric,coupling_metric,spearman_rho,p_value
equal_per_property,full,9900,anomaly_relative_frobenius_p,anomaly_pearson,0.24848484848484845,0.4887763045192432
equal_per_property,full,9900,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.4545454545454545,0.18690481034933198
equal_per_property,full,9900,anomaly_relative_frobenius_p,subspace_cosine_mean_16,0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,anomaly_relative_frobenius_p,property_rank1_energy,0.24848484848484845,0.4887763045192432
equal_per_property,full,9900,anomaly_relative_frobenius_so,anomaly_pearson,0.5030303030303029,0.13833369839449194
equal_per_property,full,9900,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.8060606060606059,0.004862061101964608
equal_per_property,full,9900,anomaly_relative_frobenius_so,subspace_cosine_mean_16,-0.0303030303030303,0.9337729580941466
equal_per_property,full,9900,anomaly_relative_frobenius_so,property_rank1_energy,0.5030303030303029,0.13833369839449194
equal_per_property,full,9900,anomaly_ssim_p,anomaly_pearson,-0.07878787878787878,0.8287173946974605
equal_per_property,full,9900,anomaly_ssim_p,temporal_spatial_mean_pearson,0.41818181818181815,0.22911284098281895
equal_per_property,full,9900,anomaly_ssim_p,subspace_cosine_mean_16,-0.10303030303030303,0.7769984634438898
equal_per_property,full,9900,anomaly_ssim_p,property_rank1_energy,-0.07878787878787878,0.8287173946974605
equal_per_property,full,9900,anomaly_ssim_so,anomaly_pearson,0.3696969696969697,0.29305007529282234
equal_per_property,full,9900,anomaly_ssim_so,temporal_spatial_mean_pearson,0.6848484848484848,0.02888279750673277
equal_per_property,full,9900,anomaly_ssim_so,subspace_cosine_mean_16,0.09090909090909088,0.8027717312071619
equal_per_property,full,9900,anomaly_ssim_so,property_rank1_energy,0.3696969696969697,0.29305007529282234
equal_per_property,full,9900,relative_frobenius_p,anomaly_pearson,-0.11515151515151514,0.7514196523258484
equal_per_property,full,9900,relative_frobenius_p,temporal_spatial_mean_pearson,0.4787878787878787,0.161522928017456
equal_per_property,full,9900,relative_frobenius_p,subspace_cosine_mean_16,0.16363636363636364,0.6514773427962428
equal_per_property,full,9900,relative_frobenius_p,property_rank1_energy,-0.11515151515151514,0.7514196523258484
equal_per_property,full,9900,relative_frobenius_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,relative_frobenius_so,temporal_spatial_mean_pearson,0.8424242424242423,0.0022200312259168433
equal_per_property,full,9900,relative_frobenius_so,subspace_cosine_mean_16,-0.006060606060606061,0.9867429111949892
equal_per_property,full,9900,relative_frobenius_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,ssim_p,anomaly_pearson,-0.24848484848484845,0.4887763045192432
equal_per_property,full,9900,ssim_p,temporal_spatial_mean_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,ssim_p,subspace_cosine_mean_16,-0.17575757575757575,0.6271883447764844
equal_per_property,full,9900,ssim_p,property_rank1_energy,-0.24848484848484845,0.4887763045192432
equal_per_property,full,9900,ssim_so,anomaly_pearson,0.6727272727272726,0.033041222545437725
equal_per_property,full,9900,ssim_so,temporal_spatial_mean_pearson,0.6727272727272726,0.033041222545437725
equal_per_property,full,9900,ssim_so,subspace_cosine_mean_16,0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,ssim_so,property_rank1_energy,0.6727272727272726,0.033041222545437725
equal_per_property,full,9900,rmse_p,anomaly_pearson,-0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,rmse_p,temporal_spatial_mean_pearson,0.4424242424242424,0.20042268671194216
equal_per_property,full,9900,rmse_p,subspace_cosine_mean_16,0.19999999999999998,0.5795840000000001
equal_per_property,full,9900,rmse_p,property_rank1_energy,-0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,rmse_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,rmse_so,temporal_spatial_mean_pearson,0.8424242424242423,0.0022200312259168433
equal_per_property,full,9900,rmse_so,subspace_cosine_mean_16,-0.006060606060606061,0.9867429111949892
equal_per_property,full,9900,rmse_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,train_range_nrmse_p,anomaly_pearson,-0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,train_range_nrmse_p,temporal_spatial_mean_pearson,0.4424242424242424,0.20042268671194216
equal_per_property,full,9900,train_range_nrmse_p,subspace_cosine_mean_16,0.19999999999999998,0.5795840000000001
equal_per_property,full,9900,train_range_nrmse_p,property_rank1_energy,-0.04242424242424241,0.9073638178128159
equal_per_property,full,9900,train_range_nrmse_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,full,9900,train_range_nrmse_so,temporal_spatial_mean_pearson,0.8424242424242423,0.0022200312259168433
equal_per_property,full,9900,train_range_nrmse_so,subspace_cosine_mean_16,-0.006060606060606061,0.9867429111949892
equal_per_property,full,9900,train_range_nrmse_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,grid,30,anomaly_relative_frobenius_p,anomaly_pearson,0.3696969696969697,0.29305007529282234
equal_per_property,grid,30,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.4424242424242424,0.20042268671194216
equal_per_property,grid,30,anomaly_relative_frobenius_p,subspace_cosine_mean_16,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,30,anomaly_relative_frobenius_p,property_rank1_energy,0.3696969696969697,0.29305007529282234
equal_per_property,grid,30,anomaly_relative_frobenius_so,anomaly_pearson,0.6848484848484848,0.02888279750673277
equal_per_property,grid,30,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.5636363636363636,0.0897240283170912
equal_per_property,grid,30,anomaly_relative_frobenius_so,subspace_cosine_mean_16,0.5757575757575757,0.08155281477260247
equal_per_property,grid,30,anomaly_relative_frobenius_so,property_rank1_energy,0.6848484848484848,0.02888279750673277
equal_per_property,grid,30,anomaly_ssim_p,anomaly_pearson,0.24848484848484845,0.4887763045192432
equal_per_property,grid,30,anomaly_ssim_p,temporal_spatial_mean_pearson,0.2121212121212121,0.5563057751029298
equal_per_property,grid,30,anomaly_ssim_p,subspace_cosine_mean_16,0.22424242424242422,0.5334005612725946
equal_per_property,grid,30,anomaly_ssim_p,property_rank1_energy,0.24848484848484845,0.4887763045192432
equal_per_property,grid,30,anomaly_ssim_so,anomaly_pearson,0.6363636363636362,0.04791172612997546
equal_per_property,grid,30,anomaly_ssim_so,temporal_spatial_mean_pearson,0.5757575757575757,0.08155281477260247
equal_per_property,grid,30,anomaly_ssim_so,subspace_cosine_mean_16,0.4424242424242424,0.20042268671194216
equal_per_property,grid,30,anomaly_ssim_so,property_rank1_energy,0.6363636363636362,0.04791172612997546
equal_per_property,grid,30,relative_frobenius_p,anomaly_pearson,-0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,relative_frobenius_p,temporal_spatial_mean_pearson,0.0303030303030303,0.9337729580941466
equal_per_property,grid,30,relative_frobenius_p,subspace_cosine_mean_16,0.05454545454545454,0.8810361811618524
equal_per_property,grid,30,relative_frobenius_p,property_rank1_energy,-0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,relative_frobenius_so,anomaly_pearson,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,relative_frobenius_so,temporal_spatial_mean_pearson,0.6121212121212121,0.05997214247725529
equal_per_property,grid,30,relative_frobenius_so,subspace_cosine_mean_16,0.6,0.066688
equal_per_property,grid,30,relative_frobenius_so,property_rank1_energy,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,ssim_p,anomaly_pearson,-0.309090909090909,0.3848412302612833
equal_per_property,grid,30,ssim_p,temporal_spatial_mean_pearson,0.5030303030303029,0.13833369839449194
equal_per_property,grid,30,ssim_p,subspace_cosine_mean_16,-0.07878787878787878,0.8287173946974605
equal_per_property,grid,30,ssim_p,property_rank1_energy,-0.309090909090909,0.3848412302612833
equal_per_property,grid,30,ssim_so,anomaly_pearson,0.6484848484848483,0.0425401276844895
equal_per_property,grid,30,ssim_so,temporal_spatial_mean_pearson,0.7333333333333332,0.01580059625057158
equal_per_property,grid,30,ssim_so,subspace_cosine_mean_16,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,ssim_so,property_rank1_energy,0.6484848484848483,0.0425401276844895
equal_per_property,grid,30,rmse_p,anomaly_pearson,0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,rmse_p,temporal_spatial_mean_pearson,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,30,rmse_p,subspace_cosine_mean_16,0.07878787878787878,0.8287173946974605
equal_per_property,grid,30,rmse_p,property_rank1_energy,0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,rmse_so,anomaly_pearson,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,rmse_so,temporal_spatial_mean_pearson,0.6121212121212121,0.05997214247725529
equal_per_property,grid,30,rmse_so,subspace_cosine_mean_16,0.6,0.066688
equal_per_property,grid,30,rmse_so,property_rank1_energy,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,train_range_nrmse_p,anomaly_pearson,0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,train_range_nrmse_p,temporal_spatial_mean_pearson,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,30,train_range_nrmse_p,subspace_cosine_mean_16,0.07878787878787878,0.8287173946974605
equal_per_property,grid,30,train_range_nrmse_p,property_rank1_energy,0.006060606060606061,0.9867429111949892
equal_per_property,grid,30,train_range_nrmse_so,anomaly_pearson,0.5878787878787878,0.07387770688865809
equal_per_property,grid,30,train_range_nrmse_so,temporal_spatial_mean_pearson,0.6121212121212121,0.05997214247725529
equal_per_property,grid,30,train_range_nrmse_so,subspace_cosine_mean_16,0.6,0.066688
equal_per_property,grid,30,train_range_nrmse_so,property_rank1_energy,0.5878787878787878,0.07387770688865809
equal_per_property,grid,100,anomaly_relative_frobenius_p,anomaly_pearson,0.2606060606060606,0.46708905438634013
equal_per_property,grid,100,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.33333333333333326,0.3465935070873344
equal_per_property,grid,100,anomaly_relative_frobenius_p,subspace_cosine_mean_16,-0.23636363636363633,0.5108853175152
equal_per_property,grid,100,anomaly_relative_frobenius_p,property_rank1_energy,0.2606060606060606,0.46708905438634013
equal_per_property,grid,100,anomaly_relative_frobenius_so,anomaly_pearson,0.22424242424242422,0.5334005612725946
equal_per_property,grid,100,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.01818181818181818,0.9602404181286242
equal_per_property,grid,100,anomaly_relative_frobenius_so,subspace_cosine_mean_16,0.2727272727272727,0.4458383415427514
equal_per_property,grid,100,anomaly_relative_frobenius_so,property_rank1_energy,0.22424242424242422,0.5334005612725946
equal_per_property,grid,100,anomaly_ssim_p,anomaly_pearson,0.24848484848484845,0.4887763045192432
equal_per_property,grid,100,anomaly_ssim_p,temporal_spatial_mean_pearson,0.18787878787878787,0.6032176100292089
equal_per_property,grid,100,anomaly_ssim_p,subspace_cosine_mean_16,-0.309090909090909,0.3848412302612833
equal_per_property,grid,100,anomaly_ssim_p,property_rank1_energy,0.24848484848484845,0.4887763045192432
equal_per_property,grid,100,anomaly_ssim_so,anomaly_pearson,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,anomaly_ssim_so,temporal_spatial_mean_pearson,-0.17575757575757575,0.6271883447764844
equal_per_property,grid,100,anomaly_ssim_so,subspace_cosine_mean_16,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,anomaly_ssim_so,property_rank1_energy,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,relative_frobenius_p,anomaly_pearson,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,relative_frobenius_p,temporal_spatial_mean_pearson,0.2121212121212121,0.5563057751029298
equal_per_property,grid,100,relative_frobenius_p,subspace_cosine_mean_16,-0.09090909090909088,0.8027717312071619
equal_per_property,grid,100,relative_frobenius_p,property_rank1_energy,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,relative_frobenius_so,anomaly_pearson,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,relative_frobenius_so,temporal_spatial_mean_pearson,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,100,relative_frobenius_so,subspace_cosine_mean_16,0.19999999999999998,0.5795840000000001
equal_per_property,grid,100,relative_frobenius_so,property_rank1_energy,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,ssim_p,anomaly_pearson,0.33333333333333326,0.3465935070873344
equal_per_property,grid,100,ssim_p,temporal_spatial_mean_pearson,0.19999999999999998,0.5795840000000001
equal_per_property,grid,100,ssim_p,subspace_cosine_mean_16,0.01818181818181818,0.9602404181286242
equal_per_property,grid,100,ssim_p,property_rank1_energy,0.33333333333333326,0.3465935070873344
equal_per_property,grid,100,ssim_so,anomaly_pearson,0.6969696969696969,0.025096675882251854
equal_per_property,grid,100,ssim_so,temporal_spatial_mean_pearson,0.7939393939393938,0.0060999233136969115
equal_per_property,grid,100,ssim_so,subspace_cosine_mean_16,0.28484848484848485,0.4250381548921453
equal_per_property,grid,100,ssim_so,property_rank1_energy,0.6969696969696969,0.025096675882251854
equal_per_property,grid,100,rmse_p,anomaly_pearson,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,rmse_p,temporal_spatial_mean_pearson,0.2121212121212121,0.5563057751029298
equal_per_property,grid,100,rmse_p,subspace_cosine_mean_16,-0.09090909090909088,0.8027717312071619
equal_per_property,grid,100,rmse_p,property_rank1_energy,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,rmse_so,anomaly_pearson,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,rmse_so,temporal_spatial_mean_pearson,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,100,rmse_so,subspace_cosine_mean_16,0.19999999999999998,0.5795840000000001
equal_per_property,grid,100,rmse_so,property_rank1_energy,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,train_range_nrmse_p,anomaly_pearson,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,train_range_nrmse_p,temporal_spatial_mean_pearson,0.2121212121212121,0.5563057751029298
equal_per_property,grid,100,train_range_nrmse_p,subspace_cosine_mean_16,-0.09090909090909088,0.8027717312071619
equal_per_property,grid,100,train_range_nrmse_p,property_rank1_energy,0.34545454545454546,0.3282265114713673
equal_per_property,grid,100,train_range_nrmse_so,anomaly_pearson,0.1515151515151515,0.6760651759978539
equal_per_property,grid,100,train_range_nrmse_so,temporal_spatial_mean_pearson,-0.01818181818181818,0.9602404181286242
equal_per_property,grid,100,train_range_nrmse_so,subspace_cosine_mean_16,0.19999999999999998,0.5795840000000001
equal_per_property,grid,100,train_range_nrmse_so,property_rank1_energy,0.1515151515151515,0.6760651759978539
equal_per_property,grid,300,anomaly_relative_frobenius_p,anomaly_pearson,-0.6848484848484848,0.02888279750673277
equal_per_property,grid,300,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.05454545454545454,0.8810361811618524
equal_per_property,grid,300,anomaly_relative_frobenius_p,subspace_cosine_mean_16,-0.6,0.066688
equal_per_property,grid,300,anomaly_relative_frobenius_p,property_rank1_energy,-0.6848484848484848,0.02888279750673277
equal_per_property,grid,300,anomaly_relative_frobenius_so,anomaly_pearson,0.49090909090909085,0.14965567342083683
equal_per_property,grid,300,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,anomaly_relative_frobenius_so,subspace_cosine_mean_16,-0.006060606060606061,0.9867429111949892
equal_per_property,grid,300,anomaly_relative_frobenius_so,property_rank1_energy,0.49090909090909085,0.14965567342083683
equal_per_property,grid,300,anomaly_ssim_p,anomaly_pearson,-0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,anomaly_ssim_p,temporal_spatial_mean_pearson,0.309090909090909,0.3848412302612833
equal_per_property,grid,300,anomaly_ssim_p,subspace_cosine_mean_16,-0.49090909090909085,0.14965567342083683
equal_per_property,grid,300,anomaly_ssim_p,property_rank1_energy,-0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,anomaly_ssim_so,anomaly_pearson,-0.0303030303030303,0.9337729580941466
equal_per_property,grid,300,anomaly_ssim_so,temporal_spatial_mean_pearson,0.18787878787878787,0.6032176100292089
equal_per_property,grid,300,anomaly_ssim_so,subspace_cosine_mean_16,-0.05454545454545454,0.8810361811618524
equal_per_property,grid,300,anomaly_ssim_so,property_rank1_energy,-0.0303030303030303,0.9337729580941466
equal_per_property,grid,300,relative_frobenius_p,anomaly_pearson,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,relative_frobenius_p,temporal_spatial_mean_pearson,-0.12727272727272726,0.7260570147627894
equal_per_property,grid,300,relative_frobenius_p,subspace_cosine_mean_16,-0.5272727272727272,0.11730806555020232
equal_per_property,grid,300,relative_frobenius_p,property_rank1_energy,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,relative_frobenius_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,relative_frobenius_so,temporal_spatial_mean_pearson,0.7939393939393938,0.0060999233136969115
equal_per_property,grid,300,relative_frobenius_so,subspace_cosine_mean_16,-0.0303030303030303,0.9337729580941466
equal_per_property,grid,300,relative_frobenius_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,ssim_p,anomaly_pearson,-0.6363636363636362,0.04791172612997546
equal_per_property,grid,300,ssim_p,temporal_spatial_mean_pearson,0.006060606060606061,0.9867429111949892
equal_per_property,grid,300,ssim_p,subspace_cosine_mean_16,-0.406060606060606,0.24428229408662652
equal_per_property,grid,300,ssim_p,property_rank1_energy,-0.6363636363636362,0.04791172612997546
equal_per_property,grid,300,ssim_so,anomaly_pearson,0.4787878787878787,0.161522928017456
equal_per_property,grid,300,ssim_so,temporal_spatial_mean_pearson,0.7696969696969697,0.009221952722215996
equal_per_property,grid,300,ssim_so,subspace_cosine_mean_16,0.04242424242424241,0.9073638178128159
equal_per_property,grid,300,ssim_so,property_rank1_energy,0.4787878787878787,0.161522928017456
equal_per_property,grid,300,rmse_p,anomaly_pearson,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,rmse_p,temporal_spatial_mean_pearson,-0.12727272727272726,0.7260570147627894
equal_per_property,grid,300,rmse_p,subspace_cosine_mean_16,-0.5272727272727272,0.11730806555020232
equal_per_property,grid,300,rmse_p,property_rank1_energy,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,rmse_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,rmse_so,temporal_spatial_mean_pearson,0.7939393939393938,0.0060999233136969115
equal_per_property,grid,300,rmse_so,subspace_cosine_mean_16,-0.0303030303030303,0.9337729580941466
equal_per_property,grid,300,rmse_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,train_range_nrmse_p,anomaly_pearson,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,train_range_nrmse_p,temporal_spatial_mean_pearson,-0.12727272727272726,0.7260570147627894
equal_per_property,grid,300,train_range_nrmse_p,subspace_cosine_mean_16,-0.5272727272727272,0.11730806555020232
equal_per_property,grid,300,train_range_nrmse_p,property_rank1_energy,-0.8181818181818182,0.003814920082550714
equal_per_property,grid,300,train_range_nrmse_so,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,grid,300,train_range_nrmse_so,temporal_spatial_mean_pearson,0.7939393939393938,0.0060999233136969115
equal_per_property,grid,300,train_range_nrmse_so,subspace_cosine_mean_16,-0.0303030303030303,0.9337729580941466
equal_per_property,grid,300,train_range_nrmse_so,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,wells,5,anomaly_relative_frobenius_p,anomaly_pearson,0.5151515151515151,0.12755286970323432
equal_per_property,wells,5,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.5030303030303029,0.13833369839449194
equal_per_property,wells,5,anomaly_relative_frobenius_p,subspace_cosine_mean_16,0.5757575757575757,0.08155281477260247
equal_per_property,wells,5,anomaly_relative_frobenius_p,property_rank1_energy,0.5151515151515151,0.12755286970323432
equal_per_property,wells,5,anomaly_relative_frobenius_so,anomaly_pearson,0.4666666666666666,0.17393859716506654
equal_per_property,wells,5,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.2606060606060606,0.46708905438634013
equal_per_property,wells,5,anomaly_relative_frobenius_so,subspace_cosine_mean_16,-0.2606060606060606,0.46708905438634013
equal_per_property,wells,5,anomaly_relative_frobenius_so,property_rank1_energy,0.4666666666666666,0.17393859716506654
equal_per_property,wells,5,anomaly_ssim_p,anomaly_pearson,0.49090909090909085,0.14965567342083683
equal_per_property,wells,5,anomaly_ssim_p,temporal_spatial_mean_pearson,0.5878787878787878,0.07387770688865809
equal_per_property,wells,5,anomaly_ssim_p,subspace_cosine_mean_16,0.406060606060606,0.24428229408662652
equal_per_property,wells,5,anomaly_ssim_p,property_rank1_energy,0.49090909090909085,0.14965567342083683
equal_per_property,wells,5,anomaly_ssim_so,anomaly_pearson,0.16363636363636364,0.6514773427962428
equal_per_property,wells,5,anomaly_ssim_so,temporal_spatial_mean_pearson,0.309090909090909,0.3848412302612833
equal_per_property,wells,5,anomaly_ssim_so,subspace_cosine_mean_16,0.04242424242424241,0.9073638178128159
equal_per_property,wells,5,anomaly_ssim_so,property_rank1_energy,0.16363636363636364,0.6514773427962428
equal_per_property,wells,5,relative_frobenius_p,anomaly_pearson,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,relative_frobenius_p,temporal_spatial_mean_pearson,0.35757575757575755,0.3103760917056803
equal_per_property,wells,5,relative_frobenius_p,subspace_cosine_mean_16,0.5757575757575757,0.08155281477260247
equal_per_property,wells,5,relative_frobenius_p,property_rank1_energy,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,relative_frobenius_so,anomaly_pearson,0.01818181818181818,0.9602404181286242
equal_per_property,wells,5,relative_frobenius_so,temporal_spatial_mean_pearson,0.4545454545454545,0.18690481034933198
equal_per_property,wells,5,relative_frobenius_so,subspace_cosine_mean_16,-0.5030303030303029,0.13833369839449194
equal_per_property,wells,5,relative_frobenius_so,property_rank1_energy,0.01818181818181818,0.9602404181286242
equal_per_property,wells,5,ssim_p,anomaly_pearson,0.10303030303030303,0.7769984634438898
equal_per_property,wells,5,ssim_p,temporal_spatial_mean_pearson,-0.05454545454545454,0.8810361811618524
equal_per_property,wells,5,ssim_p,subspace_cosine_mean_16,-0.19999999999999998,0.5795840000000001
equal_per_property,wells,5,ssim_p,property_rank1_energy,0.10303030303030303,0.7769984634438898
equal_per_property,wells,5,ssim_so,anomaly_pearson,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,ssim_so,temporal_spatial_mean_pearson,0.6121212121212121,0.05997214247725529
equal_per_property,wells,5,ssim_so,subspace_cosine_mean_16,0.05454545454545454,0.8810361811618524
equal_per_property,wells,5,ssim_so,property_rank1_energy,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,rmse_p,anomaly_pearson,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,rmse_p,temporal_spatial_mean_pearson,0.35757575757575755,0.3103760917056803
equal_per_property,wells,5,rmse_p,subspace_cosine_mean_16,0.5757575757575757,0.08155281477260247
equal_per_property,wells,5,rmse_p,property_rank1_energy,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,rmse_so,anomaly_pearson,0.01818181818181818,0.9602404181286242
equal_per_property,wells,5,rmse_so,temporal_spatial_mean_pearson,0.4545454545454545,0.18690481034933198
equal_per_property,wells,5,rmse_so,subspace_cosine_mean_16,-0.5030303030303029,0.13833369839449194
equal_per_property,wells,5,rmse_so,property_rank1_energy,0.01818181818181818,0.9602404181286242
equal_per_property,wells,5,train_range_nrmse_p,anomaly_pearson,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,train_range_nrmse_p,temporal_spatial_mean_pearson,0.35757575757575755,0.3103760917056803
equal_per_property,wells,5,train_range_nrmse_p,subspace_cosine_mean_16,0.5757575757575757,0.08155281477260247
equal_per_property,wells,5,train_range_nrmse_p,property_rank1_energy,0.23636363636363633,0.5108853175152
equal_per_property,wells,5,train_range_nrmse_so,anomaly_pearson,0.01818181818181818,0.9602404181286242
equal_per_property,wells,5,train_range_nrmse_so,temporal_spatial_mean_pearson,0.4545454545454545,0.18690481034933198
equal_per_property,wells,5,train_range_nrmse_so,subspace_cosine_mean_16,-0.5030303030303029,0.13833369839449194
equal_per_property,wells,5,train_range_nrmse_so,property_rank1_energy,0.01818181818181818,0.9602404181286242
equal_per_property,wells,10,anomaly_relative_frobenius_p,anomaly_pearson,0.22424242424242422,0.5334005612725946
equal_per_property,wells,10,anomaly_relative_frobenius_p,temporal_spatial_mean_pearson,0.17575757575757575,0.6271883447764844
equal_per_property,wells,10,anomaly_relative_frobenius_p,subspace_cosine_mean_16,0.28484848484848485,0.4250381548921453
equal_per_property,wells,10,anomaly_relative_frobenius_p,property_rank1_energy,0.22424242424242422,0.5334005612725946
equal_per_property,wells,10,anomaly_relative_frobenius_so,anomaly_pearson,0.3696969696969697,0.29305007529282234
equal_per_property,wells,10,anomaly_relative_frobenius_so,temporal_spatial_mean_pearson,0.4666666666666666,0.17393859716506654
equal_per_property,wells,10,anomaly_relative_frobenius_so,subspace_cosine_mean_16,0.16363636363636364,0.6514773427962428
equal_per_property,wells,10,anomaly_relative_frobenius_so,property_rank1_energy,0.3696969696969697,0.29305007529282234
equal_per_property,wells,10,anomaly_ssim_p,anomaly_pearson,0.12727272727272726,0.7260570147627894
equal_per_property,wells,10,anomaly_ssim_p,temporal_spatial_mean_pearson,0.5030303030303029,0.13833369839449194
equal_per_property,wells,10,anomaly_ssim_p,subspace_cosine_mean_16,0.13939393939393938,0.7009318849100583
equal_per_property,wells,10,anomaly_ssim_p,property_rank1_energy,0.12727272727272726,0.7260570147627894
equal_per_property,wells,10,anomaly_ssim_so,anomaly_pearson,0.4424242424242424,0.20042268671194216
equal_per_property,wells,10,anomaly_ssim_so,temporal_spatial_mean_pearson,0.5757575757575757,0.08155281477260247
equal_per_property,wells,10,anomaly_ssim_so,subspace_cosine_mean_16,0.4787878787878787,0.161522928017456
equal_per_property,wells,10,anomaly_ssim_so,property_rank1_energy,0.4424242424242424,0.20042268671194216
equal_per_property,wells,10,relative_frobenius_p,anomaly_pearson,-0.12727272727272726,0.7260570147627894
equal_per_property,wells,10,relative_frobenius_p,temporal_spatial_mean_pearson,-0.06666666666666665,0.8548130882487427
equal_per_property,wells,10,relative_frobenius_p,subspace_cosine_mean_16,0.05454545454545454,0.8810361811618524
equal_per_property,wells,10,relative_frobenius_p,property_rank1_energy,-0.12727272727272726,0.7260570147627894
equal_per_property,wells,10,relative_frobenius_so,anomaly_pearson,0.3696969696969697,0.29305007529282234
equal_per_property,wells,10,relative_frobenius_so,temporal_spatial_mean_pearson,0.4666666666666666,0.17393859716506654
equal_per_property,wells,10,relative_frobenius_so,subspace_cosine_mean_16,0.16363636363636364,0.6514773427962428
equal_per_property,wells,10,relative_frobenius_so,property_rank1_energy,0.3696969696969697,0.29305007529282234
equal_per_property,wells,10,ssim_p,anomaly_pearson,0.23636363636363633,0.5108853175152
equal_per_property,wells,10,ssim_p,temporal_spatial_mean_pearson,0.6242424242424242,0.053717767217167436
equal_per_property,wells,10,ssim_p,subspace_cosine_mean_16,0.3696969696969697,0.29305007529282234
equal_per_property,wells,10,ssim_p,property_rank1_energy,0.23636363636363633,0.5108853175152
equal_per_property,wells,10,ssim_so,anomaly_pearson,-0.06666666666666665,0.8548130882487427
equal_per_property,wells,10,ssim_so,temporal_spatial_mean_pearson,0.5757575757575757,0.08155281477260247
equal_per_property,wells,10,ssim_so,subspace_cosine_mean_16,0.06666666666666665,0.8548130882487427
